SiteName,Easting,Northing
0,,
BZ19/0275,1458612.0,5094400.0
BZ20/0009,1478050.0,5111531.0
BZ20/0019,1471429.0,5102809.0
BZ21/0006,1494271.0,5116680.0
BZ21/0007,1494282.0,5116677.0
CA15/5004,1358164.0,5069234.0
CA15/5005,1357881.0,5073249.0
CA15/5006,1360379.0,5077743.0
CA15/5007,1360928.0,5081055.0
CA15/5008,1354414.0,5068202.0
CA15/5009,1351598.0,5079609.0
CA17/0007,1402176.0,5047583.0
CA17/0008,1408216.0,5051416.0
CA18/0019,1441940.0,5063571.0
CA18/0020,1443707.0,5067489.0
CA19/0009,1456934.0,5075842.0
CA19/0010,1453644.0,5051155.0
CA19/0019,1451866.0,5048025.0
CA19/0020,1452982.0,5046707.0
CA19/0021,1450818.0,5050039.0
CA19/0022,1453306.0,5052008.0
CA19/0025,1452826.0,5046882.0
CA19/0027,1452303.0,5048221.0
CA19/0028,1450519.0,5062295.0
CA19/0055,1448511.0,5044557.0
CB18/5031,1430765.0,5031164.0
CB18/5032,1431081.0,5031095.0
CB18/5033,1431821.0,5031000.0
CB18/5034,1431671.0,5030490.0
CB18/5035,1431438.0,5029772.0
CB18/5036,1428880.0,5029407.0
CB18/5037,1430421.0,5030236.0
CB18/5038,1430429.0,5030941.0
CB18/5051,1437432.0,5029286.0
H36/0001,1369173.0,5150070.0
H37/0007,1377024.0,5118787.0
H37/0014,1377447.0,5118733.0
H38/0004,1365951.0,5097802.0
H38/0016,1366765.0,5094447.0
H38/0021,1369554.0,5096445.0
H38/0025,1367582.0,5097423.0
H38/0032,1370424.0,5094447.0
H38/0035,1375654.0,5090205.0
H38/0038,1368855.0,5106926.0
H38/0051,1366654.0,5094167.0
H38/0057,1362611.0,5096058.0
H38/0059,1358258.0,5095002.0
H38/0063,1368542.0,5106458.0
H38/0067,1346869.0,5093863.0
H38/0188,1358062.0,5094967.0
H38/0229,1365447.0,5089482.0
H38/0230,1372015.0,5093909.0
H38/0244,1379796.0,5090910.0
H39/0002,1359040.0,5070117.0
H39/0010,1361545.0,5070439.0
H39/0012,1362025.0,5069269.0
H39/0021,1358147.0,5069197.0
H39/0030,1351104.0,5063661.0
H39/0040,1349095.0,5070713.0
H39/0041,1359964.0,5070518.0
H39/0047,1361215.0,5070129.0
H39/0048,1362071.0,5069408.0
H39/0049,1360090.0,5069332.0
H39/0057,1358946.0,5069704.0
H39/0058,1352535.0,5064695.0
H39/0133,1359146.0,5077155.0
H39/0139,1359868.0,5076304.0
H39/0148,1349434.0,5065250.0
H39/0176,1365709.0,5065900.0
H39/0177,1365649.0,5065840.0
H39/0186,1360856.0,5086855.0
H39/0187,1362394.0,5088096.0
H39/0188,1363613.0,5089055.0
H40/0021,1377868.0,5057194.0
H40/0022,1377888.0,5057324.0
H40/0023,1377858.0,5057374.0
H40/0036,1377581.0,5057449.0
H40/0037,1377725.0,5057465.0
I37/0001,1419237.0,5122274.0
I37/0004,1419367.0,5123094.0
I37/0009,1391510.0,5128057.0
