Annual Survey
CRC00000000
CRCGWMONTHS
CRCGWREGS
CRC-GWREGS
CRCGWSALT
CRCGWSALT(JULY)
GMW_Q
GWI_A
GWI_A_N
GWM
GWM _M
GWM _Q
GWM Annual
GWM NGMP
GWM Pesticide 2019
GWM Sea Water Intrusion
GWM_A
GWM_A 
GWM_A_
GWM_A_N
GWM_A_S
GWM_GNS_S
GWM_M
GWM_M_N
GWM_NGMP
GWM_NGMP_N
GWM_NGMP_S
GWM_Pesticides
GWM_Q
GWM_Q_N
GWM_Q_S
GWM_SWI
GWM_SWI_N
GWM_SWI_S
GWN_Q
GWQ Annuals Waitaki
NCY00000000
SCYTRWELLS
SWINTRUSION
